"","Generation","Abundance"
"1",1,200
"2",2,374
"3",3,689.6186
"4",4,1238.93926798011
"5",5,2123.73903270074
"6",6,3358.5640402789
"7",7,4689.27881463173
"8",8,5611.22937759719
"9",9,5938.4515482332
"10",10,5993.27692303609
"11",11,5999.32091233903
"12",12,5999.9320220599
