Female population of origin,Female habitat of origin,Male population of origin,Male habitat of origin,Male throat color morph,Male body size (PC1),Mating,Escapes,Time spent in same square,Time spent in two adjacent squares  (short side),Time spent in two adjacent squares (long side),Time spent in diagonally opposite squares
Nyfi,Mainland,Agios Fokas,Mainland,white,-0.300712887985668,1,0,930,0,270,0
Nyfi,Mainland,Agios Fokas,Mainland,orange-white,-0.365659473082413,0,0,,,,
Nyfi,Mainland,Agios Fokas,Mainland,white,-0.591230577126883,1,0,,,,
Nyfi,Mainland,Agios Fokas,Mainland,white,-1.39093422389656,0,0,750,60,330,60
Nyfi,Mainland,Agios Fokas,Mainland,yellow,-1.31694051002383,1,0,195,795,180,30
Nyfi,Mainland,Agios Fokas,Mainland,orange-white,-0.365659473082413,0,0,360,0,120,720
Nyfi,Mainland,Agios Fokas,Mainland,yellow-white,-1.24369766564795,0,1,240,240,390,330
Nyfi,Mainland,Agios Fokas,Mainland,orange-white,-0.711088636000002,0,0,510,570,60,60
Nyfi,Mainland,Agios Fokas,Mainland,yellow-white,-0.166183890150654,0,0,300,300,120,480
Nyfi,Mainland,Agios Fokas,Mainland,orange-white,-0.666616445879756,0,0,450,600,150,0
Nyfi,Mainland,Agios Fokas,Mainland,yellow,-1.60670893455448,0,0,960,0,240,0
Nyfi,Mainland,Agios Fokas,Mainland,white,-1.12132105572171,0,0,870,60,60,210
Nyfi,Mainland,Agios Fokas,Mainland,orange-yellow,-0.208523876265847,0,0,510,645,45,0
Nyfi,Mainland,Agios Fokas,Mainland,orange,-0.83662133472168,1,0,990,90,120,0
Nyfi,Mainland,Nyfi,Mainland,white,-0.434028897272856,0,1,175,425,323,277
Nyfi,Mainland,Nyfi,Mainland,yellow-white,0.419549751962537,0,0,,,,
Nyfi,Mainland,Nyfi,Mainland,yellow-white,0.401172956855763,0,0,292,305,360,243
Nyfi,Mainland,Nyfi,Mainland,white,0.662036282089886,1,0,374,350,210,266
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.622046585823491,0,0,820,140,0,240
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.234923384642059,0,2,240,130,150,680
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.177174113814379,0,0,170,610,240,180
Nyfi,Mainland,Nyfi,Mainland,,,0,4,530,330,200,140
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.891345401067664,1,0,264,316,194,426
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-1.70487197445324,0,2,154,532,260,254
Nyfi,Mainland,Nyfi,Mainland,yellow,-0.738440839460593,0,2,440,362,342,56
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.312482362959928,0,1,1080,30,0,90
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.465456561895841,0,0,,,,
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.312482362959928,0,6,,,,
Nyfi,Mainland,Nyfi,Mainland,yellow,-1.3253359041085,1,0,600.00002,199.99998,333,67
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.230819269384173,0,0,900,180,60,60
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.4377366161772,0,0,600,60,480,60
Nyfi,Mainland,Nyfi,Mainland,yellow,-1.05641300004732,0,0,240,360,240,360
Nyfi,Mainland,Nyfi,Mainland,yellow,-1.05641300004732,1,0,570,150,300,180
Nyfi,Mainland,Nyfi,Mainland,yellow,0.312450243964847,0,0,660,180,360,0
Nyfi,Mainland,Nyfi,Mainland,orange-yellow,-1.43551860568974,0,0,360,120,120,600
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.957265774980265,0,0,360,0,720,120
Nyfi,Mainland,Nyfi,Mainland,yellow,-1.2080010853813,0,0,420,360,360,60
Nyfi,Mainland,Nyfi,Mainland,yellow-white,-0.306793818540295,0,0,480,360,240,120
Nyfi,Mainland,Nyfi,Mainland,orange-yellow,-1.30295919290547,1,0,795,105,240,60
